REFERENCE CODE,FI_NAME_THAI,FI_NAME_ENGLISH,OPEN_DATE,
738,บริษัทบริหารสินทรัพย์ เจ จำกัด,"J ASSET MANAGEMENT CO., LTD.",25560618,
739,บริษัทบริหารสินทรัพย์ เอเซีย จำกัด,"ASIA ASSET MANAGEMENT CO., LTD.",25560809,
740,บริษัทบริหารสินทรัพย์ บี.เอ.765 จำกัด,"B.A. 765 ASSET MANAGEMENT CO., LTD.",25561022,
741,บริษัทบริหารสินทรัพย์ ไนท คลับ แคปปิตอล จำกัด (มหาชน),KNIGHT CLUB CAPITAL ASSET MANAGEMENT PUBLIC COMPANY LIMITED,25561126,
742,บริษัทบริหารสินทรัพย์ ไทย (เอ) จำกัด,"THAI (A) ASSET MANAGEMENT CO., LTD.",25561001,
743,บริษัทบริหารสินทรัพย์ เอกธัญกิจ จำกัด,"EKTHUNYAKIT ASSET MANAGEMENT CO., LTD.",25561114,
744,บริษัทบริหารสินทรัพย์ ชโย จำกัด,"CHAYO ASSET MANAGEMENT CO., LTD.",25570321,
745,บริษัทบริหารสินทรัพย์ เอส ดับบลิว พี จำกัด,"S W P ASSET MANAGEMENT CO., LTD.",25570901,
747,บริษัทบริหารสินทรัพย์ พัฒนานคร จำกัด,"PHATTANANAKHORN ASSET MANAGEMENT CO., LTD.",25570919,
748,บริษัทบริหารสินทรัพย์ วิภาวดี จำกัด,VIBHAVADI  ASSET  MANAGEMENT  COMPANY,25570926,
749,บริษัทบริหารสินทรัพย์ เออีซี จำกัด,"AEC ASSET MANAGEMENT CO.,LTD.",25571218,
750,บริษัท บริหารสินทรัพย์ บียอนด์ แคปปิตอล จำกัด,"BEYOND CAPITAL ASSET MANAGEMENT CO.,LTD.",25580302,
751,บริษัทบริหารสินทรัพย์อาร์โก (ประเทศไทย) จำกัด,"ARGO ASSET MANAGEMENT (THAILAND) CO., LTD.",25580224,
752,บริษัทบริหารสินทรัพย์ ไทคูณ,"TYCOON ASSET MANAGEMENT CO., LTD.",25580525,
754,บริษัทบริหารสินทรัพย์ เอ็มเพอเรอร์ จัสติซ จำกัด,"EMPEROR JUSTICE ASSET MANAGEMENT CO., LTD.",25600403,
755,บริษัทบริหารสินทรัพย์ ไมด้า จำกัด,"MIDA  ASSET MANAGEMENT CO., LTD.",25581214,
756,บริษัทบริหารสินทรัพย์ ไทยสมบูรณ์ จำกัด,"THAISOMBOON ASSET MANAGEMENT CO., LTD.",25590401,
757,บริษัทบริหารสินทรัพย์ กรุงเทพจรัญ จำกัด,"BANGKOK CHARAN ASSET MANAGEMENT CO., LTD.",25591010,
